Year,GDP per capita (current US$)
1960,428.0561834
1961,449.1481368
1962,472.0827402
1963,511.2022354
1964,485.530686
1965,516.5319286
1966,566.8039744
1967,626.0294376
1968,708.6014369
1969,812.6774873
1970,925.7978643
1971,1071.41154
1972,1264.375107
1973,1685.459796
1974,2341.705514
1975,2489.911575
1976,2758.94038
1977,2846.335988
1978,3193.905657
1979,3900.533553
1980,4928.139118
1981,5596.585977
1982,6077.634241
1983,6633.236674
1984,7228.317584
1985,7001.766748
1986,6799.930363
1987,7539.029302
1988,8914.441226
1989,10394.539
1990,11861.75616
1991,14502.37999
1992,16136.24054
1993,18290.13011
1994,21552.41004
1995,24914.8507
1996,26232.8661
1997,26375.86537
1998,21829.27378
1999,21796.63739
2000,23852.83895
2001,21699.74149
2002,22159.83737
2003,23730.38401
2004,27608.08001
2005,29961.31728
2006,33768.45282
2007,39432.88602
2008,40008.57205
2009,38926.80544
2010,47236.68308
2011,53891.45703
2012,55547.55531
2013,56967.42579
2014,57564.80231
2015,55645.60686
2016,56899.91818
2017,61162.09739
2018,66840.63734
2019,66081.71992
2020,61466.80368
2021,79601.41296
2022,88428.70242
2023,84734.25592
